商品名,カテゴリ,価格,特徴
超軽量チタンタンブラー 350ml,キッチン用品,4980,二重構造で結露しない。食洗機対応。重さわずか98g
有機マヌカハニー UMF15+,健康食品,6480,ニュージーランド産100%。非加熱・無添加。抗菌活性グレード15+
ノイズキャンセリングイヤホン AirSilence,オーディオ,12800,ANC強度3段階調整。バッテリー32時間。IPX5防水対応
速乾マイクロファイバーバスタオル,生活雑貨,2980,吸水速度は綿の3倍。抗菌防臭加工。コンパクトに畳める
国産ヒノキのアロマディフューザー,インテリア,7800,天然ヒノキ削り出し。USB-C給電。8時間タイマー付き
折りたたみソーラーチャージャー 21W,アウトドア,5480,変換効率23%。スマホ2台同時充電。重さ420g
もちもち低反発デスクチェアクッション,オフィス用品,3480,体圧分散設計。カバー洗濯可。厚さ8cmで座面にフィット
京都宇治抹茶ラテベース 500ml,飲料,1280,一番摘み宇治抹茶使用。牛乳や豆乳で割るだけ。無香料・無着色
防水レザースマホショルダーバッグ,ファッション,4280,本革×防水加工。6.7インチまで収納可。カード3枚入るポケット付き
USB-Cマルチハブ 8in1,PC周辺機器,3980,HDMI 4K60Hz出力。SD/microSDスロット。100W PD充電パススルー
